Gene name,Gene end (bp),Gene start (bp),Chromosome/scaffold name
CYP4F10P,15669826,15664106,19
CYP4F12,15697174,15672757,19
OR10H2,15729060,15728020,19
OR10H3,15742343,15737985,19
CYP4F24P,15779909,15760241,19
AC004597.1,15770828,15760375,19
OR10H5,15801025,15787661,19
OR10H1,15815664,15804549,19
ZNF861P,15823797,15821796,19
LINC01764,15835853,15827045,19
UCA1,15836326,15828206,19
RF02202,15834804,15834730,19
LINC01835,15864904,15851993,19
CYP4F36P,15871852,15871667,19
CYP4F2,15898120,15878023,19
AC005336.2,15903238,15902300,19
AC005336.3,15907234,15904556,19
AC005336.1,15911824,15910582,19
CYP4F11,15934867,15912367,19
OR10H4,15950350,15944299,19
CYP4F9P,15999020,15979835,19
LINC00661,16027462,16015287,19
AC004790.2,16020290,16019719,19
LINC00905,16042116,16031307,19
SNX33P1,16036537,16034776,19
AC004790.1,16038455,16037009,19
OR1AB1P,16052689,16051929,19
LINC01855,16066312,16065737,19
TPM4,16103005,16067021,19
AC008894.3,16077395,16074293,19
AC008894.1,16104254,16103761,19
RAB8A,16134234,16111629,19
AC008894.2,16139892,16123661,19
HSH2D,16158575,16134028,19
CIB3,16173525,16161368,19
FAM32A,16192046,16185380,19
AC020911.1,16189458,16186276,19
RF00017,16187566,16187313,19
AP1M1,16245907,16197578,19
AC020911.2,16324514,16283359,19
KLF2,16327874,16324817,19
AC020917.3,16353182,16352462,19
EPS15L1,16472085,16355239,19
AC020917.4,16358327,16356329,19
AC020917.1,16413576,16412684,19
AC020917.2,16443584,16440946,19
CALR3,16496192,16479057,19
AC008764.1,16628204,16479067,19
C19orf44,16521352,16496311,19
CHERP,16542530,16517889,19
RN7SL146P,16539984,16539688,19
AC008764.6,16544814,16542746,19
SLC35E1,16572382,16549831,19
AC008764.3,16552328,16551773,19
AC008764.5,16566330,16565551,19
AC008764.8,16575340,16572624,19
MED26,16629062,16574907,19
AC008764.4,16660115,16577642,19
AC008764.7,16587985,16586905,19
AC008764.9,16589409,16586905,19
AC008764.10,16612203,16610374,19
AC008764.2,16636531,16610411,19
AC024075.3,16643942,16630743,19
SMIM7,16660442,16630751,19
AC024075.2,16635269,16633797,19
AC024075.1,16640668,16639967,19
TMEM38A,16690029,16661127,19
AC008737.2,16712434,16712317,19
NWD1,16817963,16719976,19
AC008737.3,16801714,16801426,19
SIN3B,16880353,16829400,19
AC008737.1,16846473,16844025,19
F2RL3,16892606,16888860,19
CPAMD8,17026815,16892947,19
RN7SL835P,16907723,16907462,19
RN7SL823P,16910784,16910490,19
AC020908.2,17013460,17009189,19
HAUS8,17075625,17049729,19
AC020908.1,17055087,17051994,19
MYO9B,17214537,17075781,19
AC020908.3,17099307,17095418,19
AC020913.1,17168051,17152588,19
AC020913.3,17178476,17177511,19
AC020913.2,17208010,17207138,19
USE1,17219829,17215346,19
OCEL1,17229219,17226204,19
NR2F6,17245940,17231883,19
AC010646.1,17255448,17235940,19
USHBP1,17282786,17249176,19
BABAM1,17281249,17267350,19
AC010463.1,17282966,17267418,19
ANKLE1,17287646,17281645,19
ABHD8,17310236,17292131,19
MRPL34,17306843,17292609,19
AC010463.3,17296695,17296196,19
DDA1,17323301,17309518,19
ANO8,17334829,17323223,19
GTPBP3,17342735,17334920,19
PLVAP,17377350,17351448,19
AC010463.2,17362753,17360932,19
CCDC194,17394158,17390509,19
BST2,17405648,17402939,19
BISPR,17419324,17405686,19
MVB12A,17433724,17405722,19
AC010319.4,17422324,17414257,19
AC010319.1,17418288,17417031,19
AC010319.3,17419774,17419305,19
TMEM221,17448567,17435509,19
AC010319.2,17460804,17436611,19
AC010319.5,17452969,17452211,19
NXNL1,17460954,17455425,19
SLC27A1,17506168,17468769,19
AC010618.3,17511889,17488990,19
PGLS,17521288,17511629,19
AC010618.2,17520565,17518330,19
FAM129C,17553839,17523301,19
COLGALT1,17583162,17555594,19
AC010618.1,17590071,17589595,19
UNC13A,17688365,17601328,19
AC008761.2,17614430,17613722,19
AC008761.3,17623338,17622447,19
MAP1S,17734516,17719242,19
AC008761.1,17734513,17727840,19
FCHO1,17788568,17747718,19
B3GNT3,17813082,17794828,19
INSL3,17821574,17816512,19
JAK3,17848071,17824780,19
RPL18A,17864153,17859876,19
SNORA68,17862720,17862588,19
AC005796.1,17871705,17871273,19
SLC5A5,17895174,17871973,19
CCDC124,17943991,17933016,19
KCNN1,18000080,17951293,19
RNA5SP468,17972117,17972025,19
ARRDC2,18014102,18001132,19
AC020904.3,18009881,18009440,19
AC020904.2,18032099,18022403,19
AC020904.1,18041083,18040355,19
RPS18P13,18049090,18048637,19
IL12RB1,18098944,18058995,19
MAST3,18151692,18097793,19
AC007192.2,18151691,18144522,19
PIK3R2,18170540,18153118,19
AC007192.1,18178117,18153158,19
IFI30,18178117,18173162,19
MPV17L2,18196948,18193182,19
RAB3A,18204074,18196784,19
AC005759.1,18220480,18204730,19
AC008397.2,18255419,18207961,19
PDE4C,18248200,18208652,19
AC008397.1,18255419,18249950,19
IQCN,18274509,18257097,19
JUND,18281622,18279760,19
MIR3188,18282161,18282077,19
RPL39P38,18285495,18285343,19
LSM4,18323274,18306230,19
RN7SL513P,18333573,18333276,19
PGPEP1,18369950,18340587,19
GDF15,18389176,18374731,19
MIR3189,18386634,18386562,19
LRRC25,18397617,18391144,19
SSBP4,18434562,18418864,19
ISYNA1,18438301,18434388,19
AC010335.1,18443597,18441419,19
ELL,18522127,18442663,19
AC010335.2,18448802,18448275,19
AC010335.3,18448805,18448275,19
AC005387.1,18532632,18531613,19
FKBP8,18544077,18531751,19
AC005387.2,18536188,18532908,19
KXD1,18569387,18557762,19
AC005253.1,18561560,18557775,19
AC005253.2,18569375,18568506,19
UBA52,18577550,18571730,19
CRLF1,18607741,18572220,19
REX1BD,18592336,18588685,19
TMEM59L,18621039,18607430,19
RN7SL155P,18631908,18631646,19
KLHL26,18671714,18636965,19
CRTC1,18782333,18683677,19
COMP,18791314,18782773,19
UPF1,18868236,18831938,19
GDF1,18896096,18868545,19
CERS1,18896727,18868545,19
AC005197.1,18883376,18881680,19
COPE,18919397,18899514,19
AC002985.1,18934397,18907013,19
DDX49,18928633,18919675,19
HOMER3,18941261,18929201,19
HOMER3-AS1,18946831,18940322,19
RN7SL70P,18958258,18957957,19
SUGP2,19034023,18990888,19
ARMC6,19060311,19033575,19
SLC25A42,19112888,19063999,19
TMEM161A,19138513,19119169,19
BORCS8-MEF2B,19192158,19145567,19
MEF2B,19170289,19145568,19
BORCS8,19192591,19176903,19
RFXANK,19201869,19192229,19
NR2C2AP,19203424,19201416,19
NCAN,19252233,19211973,19
RNU6-1028P,19232947,19232855,19
AC138430.1,19273369,19254748,19
AC138430.2,19256141,19255638,19
HAPLN4,19262796,19255641,19
TM6SF2,19273391,19264364,19
SUGP1,19320844,19276018,19
MAU2,19358755,19320681,19
GATAD2A,19508931,19385826,19
AC092067.1,19402603,19401979,19
MIR640,19435158,19435063,19
TSSK6,19515685,19512418,19
NDUFA13,19529054,19515736,19
AC011448.1,19536076,19516227,19
YJEFN3,19537581,19528861,19
CILP2,19546659,19538248,19
PBX4,19618916,19561707,19
PHF5CP,19588415,19588091,19
AC002306.1,19608660,19606350,19
LPAR2,19628930,19623668,19
GMIP,19643667,19629476,19
ATP13A1,19663693,19645198,19
ZNF101,19683509,19668796,19
AC011458.2,19699409,19699203,19
AC011458.1,19710465,19708965,19
ZNF14,19733097,19710471,19
AC011477.7,19750127,19740884,19
AC011477.6,19752544,19750618,19
LINC00663,19776423,19757366,19
AC011477.4,19821716,19761038,19
AC011477.5,19768989,19768731,19
AC011477.1,19836073,19776602,19
ZNF506,19821751,19785839,19
AC011477.2,19790531,19788755,19
BNIP3P9,19857527,19856975,19
ZNF253,19894674,19865886,19
BNIP3P10,19871299,19870723,19
AC011477.3,19895847,19892433,19
ZNF93,19963464,19900913,19
AC007204.1,19909146,19908268,19
AC007204.2,19979610,19978190,19
ZNF682,20039506,19997058,19
AC006539.2,20034332,20033444,19
AC006539.3,20056594,20056466,19
BNIP3P13,20063320,20062755,19
ZNF90,20127076,20077994,19
AC006539.1,20080539,20079818,19
AC011447.5,20087576,20087013,19
AC011447.1,20125484,20125044,19
AC011447.3,20321305,20125377,19
AC011447.2,20151908,20131894,19
BNIP3P15,20137233,20136933,19
ZNF486,20200490,20167228,19
BNIP3P16,20177063,20175013,19
AC011447.4,20206954,20206844,19
AC011447.6,20209789,20207192,19
AC011447.7,20222186,20220597,19
BNIP3P17,20222463,20221869,19
AC078899.3,20250295,20249052,19
AC078899.1,20259418,20257720,19
BNIP3P18,20268391,20267817,19
AC078899.4,20303794,20295089,19
BNIP3P19,20324568,20323992,19
AC078899.5,20331517,20330121,19
ZNF826P,20424969,20340269,19
BNIP3P20,20352079,20351502,19
AC078899.2,20390689,20389658,19
MIR1270,20399354,20399272,19
BNIP3P22,20417069,20416514,19
AC008554.1,20528615,20432552,19
BNIP3P23,20443725,20443215,19
ZNF737,20565809,20535825,19
AC010636.2,20661583,20553792,19
VN1R78P,20583647,20583084,19
AC010636.1,20615389,20611559,19
ZNF626,20661596,20620061,19
AC010329.5,20696533,20674923,19
AC010329.2,20697615,20691336,19
AC010329.1,20755250,20746923,19
VN1R79P,20758952,20758440,19
ZNF66,20807322,20776304,19
BNIP3P24,20785152,20784596,19
AC008739.2,20847417,20838515,19
ZNF85,20950697,20923222,19
AC008739.5,20928714,20926777,19
KRT18P40,20965140,20961057,19
AC008739.1,20983210,20972262,19
ZNF430,21060050,21020620,19
AC008739.3,21026041,21025915,19
VN1R80P,21064261,21063924,19
ZNF714,21125270,21082159,19
RNA5SP469,21113236,21113128,19
VN1R81P,21124188,21123817,19
ZNF431,21196053,21142024,19
RPL7AP10,21150438,21149648,19
VN1R82P,21188953,21188598,19
AC010620.1,21222746,21221645,19
AC010620.2,21245241,21225098,19
RPL36AP51,21233652,21233335,19
AC022432.1,21276332,21276023,19
VN1R83P,21289998,21289554,19
ZNF708,21329425,21291160,19
BNIP3P25,21318719,21318161,19
ZNF738,21379302,21358930,19
AC010615.3,21381921,21381220,19
AC010615.1,21387177,21382865,19
ZNF493,21427573,21397119,19
AC010615.4,21491266,21405159,19
AC010615.2,21463908,21444241,19
LINC00664,21503238,21483374,19
ZNF429,21556270,21496682,19
BNIP3P26,21521896,21521343,19
AC123912.1,21569237,21554640,19
AC123912.4,21587322,21570822,19
AC123912.2,21594628,21587432,19
AC123912.6,21593041,21592727,19
AC123912.5,21635175,21634833,19
AC123912.3,21656300,21637974,19
MTDHP3,21678221,21677550,19
MTDHP4,21710191,21709522,19
VN1R84P,21720035,21719801,19
ZNF100,21767628,21722766,19
AC092364.2,21753438,21750747,19
AC092364.1,21793860,21768772,19
BRI3BPP1,21801266,21800480,19
ZNF43,21852125,21804949,19
BNIP3P27,21827279,21826513,19
ZNF208,22010949,21932958,19
MTDHP2,21941533,21940820,19
AC003973.3,21968529,21965708,19
BNIP3P28,21998840,21997648,19
AC003973.2,22036315,22017959,19
AC003973.1,22050005,22043500,19
ZNF257,22091480,22052452,19
BNIP3P29,22066398,22065828,19
ZNF92P2,22130318,22128627,19
AC073539.2,22130489,22130325,19
PCGF7P,22138981,22137931,19
MTDHP5,22141117,22140532,19
VN1R85P,22175191,22174766,19
ZNF676,22215775,22179091,19
BNIP3P30,22204003,22203128,19
AC073539.7,22215661,22215634,19
AC073539.1,22245347,22243254,19
AC073539.3,22261335,22259693,19
ZNF729,22317176,22286408,19
BNIP3P31,22299868,22298977,19
AC011494.1,22362825,22362589,19
RPL34P34,22368952,22368599,19
ZNF98,22532485,22391019,19
AC011516.1,22426045,22422513,19
BNIP3P32,22448777,22447934,19
AC025811.1,22456459,22455988,19
BNIP3P33,22458212,22457329,19
ZNF209P,22473036,22463922,19
AC004004.1,22501948,22501699,19
AC011467.1,22527949,22520995,19
LINC01233,22533494,22532626,19
RNU6-1179P,22555367,22555261,19
AC011467.6,22596163,22595479,19
GOLGA2P9,22603550,22596257,19
RN7SL860P,22601707,22601485,19
AC011467.3,22608501,22603269,19
AC011467.4,22608211,22605739,19
AC011467.5,22610601,22609606,19
LINC01785,22623971,22615557,19
AC011467.2,22620724,22620483,19
ZNF492,22667670,22634324,19
AC024563.1,22716991,22665552,19
ZNF849P,22686732,22685167,19
RPL34P33,22699685,22699352,19
AC024563.2,22709314,22708834,19
VN1R87P,22743410,22742924,19
ZNF99,22784107,22752183,19
AC008626.2,22770622,22770375,19
AC008626.1,22771191,22770937,19
BNIP3P34,22774424,22773853,19
ZNF723,22858667,22832321,19
BNIP3P35,22840921,22840432,19
VN1R88P,22861594,22861303,19
AC022145.1,22914289,22907086,19
AC022145.2,22925547,22925377,19
ZNF728,23003176,22975468,19
BNIP3P36,22995847,22994968,19
LINC01859,23023697,23015075,19
LINC01858,23061752,23046958,19
AC074135.2,23071476,23068473,19
AC074135.1,23100361,23075201,19
ZNF730,23147219,23075210,19
BNIP3P37,23124088,23123188,19
AC124856.1,23128543,23125665,19
SNX6P1,23127792,23126569,19
AC092329.2,23204556,23204010,19
ZNF724,23250390,23221599,19
AC092329.3,23274221,23222755,19
BNIP3P38,23236851,23236308,19
IPO5P1,23257939,23255053,19
AC092329.1,23274232,23257255,19
IPO5P1,23274251,23259906,19
VN1R90P,23289345,23288620,19
VN1R91P,23291017,23290849,19
ZNF91,23395560,23304991,19
AC010300.1,23329101,23323968,19
BNIP3P8,23380876,23380317,19
CDC42EP3P1,23385293,23384530,19
LINC01224,23416075,23399233,19
VN1R92P,23445189,23444262,19
AC074140.1,23480468,23479762,19
ZNF725P,23512656,23492428,19
ZNF675,23687220,23525631,19
AC073544.1,23598159,23596122,19
RPS27P29,23597592,23597341,19
VN1R93P,23603106,23602567,19
ZNF681,23758891,23739195,19
AC139769.1,23833314,23762944,19
BNIP3P39,23799477,23798924,19
AC139769.2,23874701,23817599,19
RPSAP58,23828049,23827162,19
AC139769.3,23843230,23842549,19
ZNF726,23945159,23914876,19
AC011503.1,23957930,23919081,19
AC011503.2,23929287,23927788,19
ZNF92P3,23936173,23935220,19
RNA5-8SP4,24004507,24004358,19
ZNF254,24129961,24033405,19
AC092279.1,24066909,24033445,19
AC092279.2,24080669,24078481,19
BNIP3P40,24098980,24098425,19
AC073534.1,24147081,24146701,19
HAVCR1P1,24163425,24162370,19
ERVK-28,27646483,27638483,19
AC112702.1,27639665,27639300,19
LINC00662,27793940,27684580,19
AC006504.1,27760849,27757184,19
AC006504.5,27918863,27793463,19
AC006504.7,27984984,27793488,19
AC006504.8,27803472,27802838,19
AC006504.3,27804060,27803538,19
SLC25A1P5,27806205,27805423,19
AC006504.2,27889222,27849730,19
AC006504.4,27898927,27892495,19
AC005357.2,27984743,27902595,19
AC006504.6,27908554,27908356,19
AC005758.1,27929370,27918943,19
AC005357.1,27983332,27983032,19
AC010511.1,28125430,28065267,19
AC020905.1,28313500,28294093,19
AC005580.1,28386204,28316705,19
AC093074.1,28396428,28394851,19
AC005307.1,28429490,28418483,19
AC005394.2,28727680,28435388,19
AC005381.1,28535277,28437060,19
AC005394.1,28632728,28491864,19
AC005616.1,28518728,28509238,19
AC079466.2,28648303,28602379,19
AC079466.1,28615229,28606688,19
AC005524.1,28727777,28683071,19
MAN1A2P1,28792871,28790812,19
AC007795.1,28879170,28869796,19
AC008991.1,28953245,28883430,19
AC008991.2,28895949,28892931,19
AC011524.1,28950200,28949437,19
AC011524.2,28964943,28960506,19
LINC00906,28970874,28965131,19
RNA5SP470,29001775,29001670,19
LINC01532,29013955,29002555,19
UQCRFS1,29213541,29205321,19
AC007786.1,29215815,29213235,19
AC007786.2,29221666,29220864,19
AC007786.3,29223137,29222542,19
RN7SL340P,29233385,29233090,19
AC011474.1,29525752,29287011,19
AC011474.3,29448380,29448038,19
AC011474.2,29526948,29489775,19
AC011474.4,29509041,29506966,19
VSTM2B,29564479,29526499,19
POP4,29617237,29604017,19
PLEKHF1,29675457,29665056,19
C19orf12,29715789,29698886,19
CCNE1,29824308,29811898,19
AC008798.1,29901869,29901696,19
AC008507.3,29917830,29915862,19
PPIAP58,29921653,29921182,19
URI1,30016608,29923644,19
RPL9P32,29956988,29956369,19
AC008507.2,30029916,30028741,19
TAF9P3,30037411,30037285,19
AC008507.1,30038181,30037423,19
AC005597.1,30228715,30219666,19
ZNF536,30713538,30228290,19
AC011504.1,30558058,30553956,19
AC011478.1,30668647,30665274,19
AC011507.1,30872507,30850975,19
LINC01834,30909155,30907199,19
AC020897.1,30957192,30946582,19
AC020912.1,31147981,31100304,19
LINC01791,31207663,31167516,19
TSHZ3,31349547,31274945,19
AC025809.1,31417794,31348881,19
AC025809.2,31366098,31364297,19
AC008992.1,31427302,31421997,19
AC008794.2,31466431,31465653,19
AC008794.1,31554797,31542039,19
AC011525.1,31595720,31588040,19
AC011525.2,31593781,31588196,19
RNA5SP471,31655461,31655356,19
RNU6-967P,31787255,31787148,19
LINC01837,32072082,31859103,19
AC011456.1,31908284,31886704,19
LINC01533,32056865,32025862,19
LINC01782,32105916,32102088,19
AC011518.1,32106537,32103583,19
RNA5SP472,32244083,32243965,19
ZNF507,32387667,32345594,19
AC007773.1,32405560,32390050,19
DPY19L3,32485895,32405543,19
PDCD5,32587452,32581068,19
ANKRD27,32676597,32597007,19
SNORA68B,32608469,32608337,19
RPS12P31,32636475,32636078,19
RN7SL789P,32655308,32655016,19
AC008474.1,32673210,32666298,19
RGS9BP,32678300,32675407,19
AC008736.1,32691750,32687089,19
NUDT19,32713796,32691961,19
AC008736.2,32719595,32718298,19
TDRD12,32829580,32719753,19
AC008805.1,32824505,32824142,19
SLC7A9,32869766,32830509,19
AC008805.2,32833168,32831295,19
RN7SKP22,32863092,32862800,19
CEP89,32971991,32875925,19
RPL31P60,32963865,32963499,19
FAAP24,32978222,32972209,19
RHPN2,33064888,32978593,19
AC008521.1,33051701,33051515,19
AC008521.2,33067433,33067175,19
GPATCH1,33130542,33080880,19
WDR88,33175795,33132090,19
LRP3,33208867,33177603,19
AC008738.1,33178651,33178056,19
AC008738.7,33207639,33207129,19
SLC7A10,33225850,33208664,19
AC008738.4,33221170,33217817,19
AC008738.6,33285739,33283978,19
AC008738.3,33301168,33299934,19
CEBPA,33302564,33299934,19
AC008738.5,33301940,33301279,19
CEBPA-DT,33305054,33302857,19
AC008738.2,33309387,33305036,19
RPS3AP50,33341984,33340686,19
AKR1B1P7,33361448,33360497,19
CEBPG,33382686,33373330,19
PEPD,33521794,33386950,19
AC010485.1,33557470,33555568,19
RPL21P131,33589688,33589206,19
CHST8,33773509,33621955,19
KCTD15,33815763,33795933,19
AC008556.1,33908391,33906352,19
RN7SL150P,33927625,33927364,19
RPS4XP23,34021895,34021659,19
RPS4XP20,34023427,34022656,19
RPS4XP21,34093310,34092561,19
CHCHD2P3,34127423,34126973,19
LSM14A,34229515,34172504,19
KIAA0355,34355586,34254537,19
RPL29P33,34296592,34296277,19
AC010504.1,34359412,34348356,19
GPI,34402413,34359480,19
AC092073.1,34409364,34396315,19
PDCD2L,34426168,34404384,19
RN7SL154P,34422311,34421988,19
AC008747.1,34428273,34426112,19
UBA2,34471251,34428352,19
WTIP,34512304,34481638,19
RPS26P55,34534084,34533427,19
ZNF807,34545395,34542462,19
SCGB1B2P,34577701,34576733,19
SCGB2B2,34675699,34593329,19
AC020910.3,34635717,34634844,19
RF00611,34637781,34637696,19
AC020910.1,34640689,34638122,19
AC020910.6,34646838,34645380,19
SCGB2B3P,34646070,34645662,19
AC020910.5,34677581,34675717,19
ZNF302,34686397,34677639,19
AC020910.4,34733837,34733298,19
ZNF181,34745378,34734155,19
ZNF599,34773229,34758076,19
AC020910.2,34780021,34779412,19
LINC01801,34832869,34788582,19
AC008555.1,34814345,34811589,19
AC008555.7,34825996,34825414,19
AC008555.2,34855304,34837889,19
AC008555.5,34860576,34849278,19
AC008555.4,34866919,34866352,19
LINC00904,34898943,34892029,19
AC008555.3,34904195,34902202,19
AC008555.6,34905057,34904392,19
LINC01838,34908188,34905315,19
ZNF30-AS1,34926812,34923299,19
ZNF30,34945170,34926903,19
AC008555.8,34951205,34949038,19
ZNF792,34964049,34956354,19
GRAMD1A,35026471,34994784,19
AC020907.3,35000170,34998233,19
AC020907.4,35025335,35014961,19
SCN1B,35040449,35030466,19
HPN,35066571,35040506,19
HPN-AS1,35106304,35059059,19
AC020907.1,35113664,35090930,19
AC020907.6,35124297,35106510,19
FXYD3,35124324,35115879,19
MIR6887,35122764,35122700,19
LGI4,35142451,35124513,19
AC020907.5,35139580,35137645,19
FXYD1,35143109,35138808,19
AC020907.2,35151336,35138824,19
FXYD7,35154301,35143250,19
FXYD5,35169883,35154730,19
FAM187B,35228729,35224800,19
FAM187B2P,35233003,35232291,19
LSR,35267964,35248330,19
AC002128.2,35253639,35251440,19
AC002128.1,35264804,35262846,19
USF2,35279821,35268978,19
HAMP,35285143,35280716,19
MAG,35313804,35292125,19
CD22,35347355,35319261,19
U62631.1,35331920,35330843,19
MIR5196,35345627,35345513,19
FFAR1,35353862,35351552,19
FFAR3,35360485,35358460,19
GPR42,35372962,35370929,19
EEF1A1P7,35384052,35382172,19
LINC01531,35419385,35399511,19
AC002511.3,35408493,35407770,19
RN7SL491P,35415149,35414881,19
AC002511.2,35424652,35424062,19
AC002511.1,35434642,35432957,19
FFAR2,35451767,35443907,19
KRTDAP,35495558,35487324,19
DMKN,35513658,35497220,19
SBSN,35528351,35523367,19
GAPDHS,35545316,35533412,19
TMEM147-AS1,35546029,35540738,19
TMEM147,35547526,35545595,19
ATP4A,35563658,35550043,19
AD000090.1,35581954,35557956,19
PMIS2,35587296,35586161,19
LINC01766,35601501,35597907,19
AC002115.1,35612666,35608285,19
HAUS5,35625349,35612744,19
RBM42,35637686,35629030,19
ETV2,35644871,35641745,19
COX6B1,35658861,35648223,19
UPK1A,35678483,35666516,19
UPK1A-AS1,35673291,35667948,19
TYMSP2,35684201,35683778,19
ZBTB32,35717038,35704527,19
KMT2B,35738878,35718019,19
IGFLR1,35742453,35738801,19
AD000671.2,35745432,35739252,19
U2AF1L4,35745445,35742464,19
PSENEN,35747519,35745114,19
AD000671.1,35754519,35745678,19
AD000671.3,35753415,35747057,19
LIN37,35754519,35748361,19
AC002398.2,35755490,35754566,19
HSPB6,35758079,35754569,19
PROSER3,35771028,35758143,19
AC002398.1,35771028,35769144,19
ARHGAP33,35788822,35774532,19
LINC01529,35797902,35785697,19
PRODH2,35813299,35799988,19
NPHS1,35869287,35825964,19
KIRREL2,35867109,35855861,19
APLP1,35879791,35867899,19
RN7SL402P,35882153,35881890,19
NFKBID,35902303,35887653,19
AD000864.1,35903855,35901561,19
HCST,35904377,35902480,19
TYROBP,35908295,35904401,19
LRFN3,35945767,35935358,19
AF038458.3,35959192,35947115,19
AF038458.1,35957382,35957121,19
AF038458.2,35964063,35960512,19
SDHAF1,35996315,35995199,19
SYNE4,36008793,36003299,19
AC002116.1,36014235,36008638,19
ALKBH6,36014239,36009120,19
AC002116.2,36045972,36014508,19
CLIP3,36033343,36014660,19
THAP8,36054762,36034985,19
WDR62,36105106,36054881,19
AD000813.1,36071070,36070239,19
OVOL3,36113711,36111151,19
POLR2I,36115346,36113710,19
TBCB,36125947,36114289,19
AD001527.2,36115146,36114362,19
CAPNS1,36150353,36139575,19
AD001527.1,36148348,36144081,19
COX7A1,36152869,36150922,19
AC002984.1,36173853,36173406,19
ZNF565,36246257,36182060,19
RF00019,36203459,36203347,19
ZNF146,36238774,36214602,19
AC012617.1,36312668,36304580,19
LINC00665,36331718,36313067,19
ZFP14,36379199,36334453,19
AC092296.1,36378832,36378028,19
AC092296.3,36380912,36379351,19
ZFP82,36418656,36383120,19
AC092296.2,36422534,36421536,19
ZNF566,36489902,36445119,19
AC092295.2,36491040,36489649,19
CTBP2P7,36498159,36496916,19
ZNF260,36528660,36510695,19
AC092295.1,36535235,36528318,19
ZNF529,36605276,36534774,19
ZNF529-AS1,36594708,36573070,19
ZNF382,36634113,36604817,19
ZNF461,36666853,36637192,19
AC074138.1,36669404,36668102,19
LINC01534,36687449,36685440,19
ZNF567,36727701,36687612,19
ZNF850,36772825,36714383,19
AC020928.1,36777078,36773153,19
AC020928.2,36775908,36773712,19
ZNF790-AS1,36828115,36797518,19
ZNF790,36850787,36817428,19
ZNF345,36913029,36850361,19
RF00019,36858329,36858227,19
ZNF829,36916291,36888124,19
RPL31P61,36902117,36901742,19
ZNF568,36998700,36916329,19
ZNF420,37130314,37007857,19
AC010632.3,37025254,37024886,19
AC010632.1,37078605,37075113,19
AC010632.2,37092564,37091341,19
AC012309.1,37210512,37093019,19
ZNF585A,37172741,37106734,19
AC012309.2,37141640,37128679,19
ZNF585B,37218153,37181579,19
ZNF383,37248738,37217926,19
LINC01535,37265535,37251912,19
AC016590.1,37271518,37265939,19
HKR1,37369365,37312837,19
AC016590.3,37315620,37314868,19
AC016590.2,37337743,37337236,19
ZNF527,37393066,37371061,19
AC008806.1,37403846,37401404,19
ZNF569,37469275,37411155,19
ZNF570,37488652,37467585,19
ZNF793-AS1,37507046,37497159,19
AC022148.2,37504465,37503906,19
ZNF793,37548762,37506939,19
AC022148.1,37549171,37545470,19
ZNF571-AS1,37587348,37548914,19
ZNF540,37614097,37551406,19
ZNF571,37594790,37554782,19
ZFP30,37692337,37613749,19
ZNF781,37692322,37667751,19
AC093227.2,37719188,37689865,19
SELENOKP1,37693564,37693280,19
ZNF607,37719790,37696363,19
AC093227.1,37730643,37728586,19
ZNF573,37817300,37735833,19
AC016582.2,37792865,37779686,19
AC016582.3,37832160,37817359,19
AC016582.1,37855215,37823722,19
WDR87,37906677,37884823,19
SIPA1L3,38208372,37907228,19
AC008395.1,37964790,37963853,19
AC011465.1,38109533,38108500,19
AC011479.3,38186265,38184376,19
AC011479.2,38200934,38199836,19
RN7SL663P,38200532,38200234,19
DPF1,38229714,38211006,19
SPINT2,38292614,38244035,19
PPP1R14A,38256591,38251237,19
AC011479.1,38304910,38289151,19
RF00019,38294636,38294544,19
C19orf33,38305009,38304161,19
YIF1B,38317273,38305104,19
KCNK6,38332076,38319844,19
CATSPERG,38370943,38335775,19
AC005625.1,38362484,38361795,19
PSMD8,38383824,38374536,19
GGN,38388082,38384265,19
AC005789.1,38386759,38385522,19
SPRED3,38399587,38388421,19
FAM98C,38409088,38403135,19
RASGRP4,38426305,38409051,19
RYR1,38587564,38433699,19
AC067969.2,38528555,38526954,19
AC067969.1,38537128,38535517,19
MAP4K1,38618882,38587641,19
AC008649.1,38601694,38596346,19
EIF3K,38636955,38619082,19
ACTN4,38731583,38647649,19
AC008649.2,38693606,38683873,19
CAPN12,38769904,38730187,19
AC022144.1,38739863,38738284,19
LGALS7,38773492,38770971,19
LGALS7B,38791749,38789211,19
RNU6-140P,38797109,38797002,19
LGALS4,38813364,38801671,19
ECH1,38832005,38815422,19
AC008982.1,38840178,38817471,19
AC104534.1,38823223,38820166,19
HNRNPL,38852347,38836388,19
AC008982.2,38845499,38844729,19
RINL,38878279,38867834,19
AC011455.1,38873763,38870159,19
SIRT2,38899862,38878555,19
NFKBIB,38908893,38899700,19
CCER2,38912158,38908980,19
SARS2,38930896,38915266,19
AC011455.2,38949855,38915404,19
MRPS12,38933162,38930548,19
ERVK9-11,38938632,38935297,19
FBXO17,38975910,38941401,19
FBXO27,39032785,38990714,19
AC010605.1,39031323,39030436,19
ACP7,39111493,39083913,19
PAK4,39182816,39125770,19
AC011443.1,39136463,39134882,19
NCCRP1,39201884,39196961,19
SYCN,39204266,39202831,19
IFNL3P1,39237293,39236433,19
IFNL3,39245129,39243553,19
IFNL4,39248856,39246314,19
MSRB1P1,39255269,39254916,19
IFNL4P1,39265817,39264382,19
IFNL2,39270092,39268514,19
